cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica,n_licitacoes,valor_homologado_total,n_dispensa,valor_hom_dispensa,ano_ultima_licitacao,pct_dispensa,alerta_dispensa
2503209,Cabedelo,70734,100.0,🟢 Risco Baixo,6,101.085,0.723339,0.71,0,1.0,0.0,0.2036259029351659,1.0,1.0,1.0,1.0,15.0,35.0,15.0,10.0,10.0,15.0,0.0,0.0,100.0,100.0,56.0,1.0,False,False,False,False,False,306.0,120607408.52,194.0,12482587.43,2026.0,0.1035,False
2507507,João Pessoa,897633,99.4,🟢 Risco Baixo,6,91.0965,0.340043,2.23,0,1.0,0.0,0.2417253843784814,1.0,0.9841,1.0,1.0,15.0,34.4435,15.0,10.0,10.0,15.0,0.0,0.0,99.4435,99.4435,56.0,1.0,False,False,False,False,False,8935.0,8588572456.11,6696.0,2824874003.42,2027.0,0.3289,True
2516300,Sumé,17852,96.9,🟢 Risco Baixo,6,102.892,0.337011,0.1,0,1.0,0.0,0.0424661163601213,1.0,0.9792,1.0,0.761,15.0,34.272,15.0,10.0,7.61,15.0,0.0,0.0,96.882,96.882,56.0,1.0,False,False,False,False,True,182.0,39902789.48,95.0,3036871.32,2026.0,0.0761,False
2506301,Guarabira,60057,95.6,🟢 Risco Baixo,6,110.347,0.320385,0.36,0,1.0,0.0,0.0867473496234097,0.8218,0.9526,1.0,0.995,12.327,33.341,15.0,10.0,9.95,15.0,0.0,0.0,95.618,95.618,56.0,1.0,False,False,False,False,False,324.0,91082691.13,192.0,30001604.63,2026.0,0.3294,True
2504603,Conde,30007,92.9,🟢 Risco Baixo,6,108.015,0.268121,0.03,0,1.0,0.1,0.1267467861389219,0.8995,0.869,1.0,0.9996,13.4925,30.415,15.0,9.0,9.996,15.0,0.0,0.0,92.9035,92.9035,56.0,1.0,False,False,False,False,False,175.0,38759895.940000005,113.0,38759895.940000005,2026.0,1.0,True
2515104,São Sebastião de Lagoa de Roça,11387,91.4,🟢 Risco Baixo,6,91.2255,0.307647,0.68,0,1.0,0.15,0.0292454124852427,1.0,0.9322,1.0,0.532,15.0,32.627,15.0,8.5,5.32,15.0,0.0,0.0,91.447,91.447,56.0,1.0,False,False,False,False,True,42.0,3573172.74,20.0,310769.0,2026.0,0.087,False
2509339,Matinhas,4759,90.6,🟢 Risco Baixo,6,101.6795,0.417334,1.5,0,1.0,0.15,0.0163807553480048,1.0,1.0,1.0,0.2136,15.0,35.0,15.0,8.5,2.136,15.0,0.0,0.0,90.636,90.636,56.0,1.0,False,False,False,False,True,6.0,1923417.08,0.0,0.0,2026.0,0.0,False
2512507,Queimadas,50698,90.2,🟢 Risco Baixo,6,122.465,0.455043,0.0,0,1.0,0.0,0.0442198229425309,0.5,1.0,1.0,0.7676,7.5,35.0,15.0,10.0,7.676,15.0,0.0,0.0,90.176,90.176,56.0,1.0,False,False,False,False,True,249.0,74274799.63,146.0,13857519.05,2026.0,0.1866,False
2501104,Areia,23031,89.7,🟢 Risco Baixo,6,99.4185,0.221091,1.14,0,1.0,0.15,0.0491759988921808,1.0,0.7937,1.0,0.843,15.0,27.7795,15.0,8.5,8.43,15.0,0.0,0.0,89.70949999999999,89.70949999999999,56.0,1.0,False,False,False,False,True,160.0,2767879.7,60.0,101866.0,2026.0,0.0368,False
2512705,Remígio,18399,89.6,🟢 Risco Baixo,6,99.3355,0.217809,0.04,0,1.0,0.0,0.0387093593065104,1.0,0.7885,1.0,0.7038,15.0,27.5975,15.0,10.0,7.038,15.0,0.0,0.0,89.6355,89.6355,56.0,1.0,False,False,False,False,True,45.0,15453905.129999999,0.0,0.0,2026.0,0.0,False
